[2021-12-06 11:57:07] 	开始等待验证cookie时间
[2021-12-06 12:29:00] 	cookie有效，请等待预定时间
[2021-12-06 12:29:00] 	开始等待预定时间
[2021-12-06 12:30:00] 	尝试识别验证码
[2021-12-06 12:30:00] 	识别验证码为uewx
[2021-12-06 12:30:00] 	14151813a6699bc0dd100916a6b1b4f5尝试失败，保存验证码图片后开始下一次尝试
[2021-12-06 12:30:06] 	识别验证码为vbh
[2021-12-06 12:30:06] 	a6f3dd4d076886869a7385b95b6c72bf尝试失败，保存验证码图片后开始下一次尝试
[2021-12-06 12:30:13] 	识别验证码为c53s
[2021-12-06 12:30:13] 	验证码尝试成功，验证码为c53s
[2021-12-06 12:30:13] 	{
    "data": {
        "userAuth": {
            "prereserve": {
                "verifyCaptcha": true,
                "setStep1": "wss://wechat.v2.traceint.com/quee/quee?sid=21001936&schId=126&in=fnL7&time=1638765013&t=5c295e9446e0bc416df95d6b6ef17c4e"
            }
        }
    }
}
[2021-12-06 12:30:13] 	wss连接地址wss://wechat.v2.traceint.com/quee/quee?sid=21001936&schId=126&in=fnL7&time=1638765013&t=5c295e9446e0bc416df95d6b6ef17c4e
[2021-12-06 12:30:13] 	create_connection连接成功
[2021-12-06 12:30:13] 	前方排队304人
[2021-12-06 12:30:13] 	前方排队304人
[2021-12-06 12:30:16] 	前方排队280人
[2021-12-06 12:30:18] 	前方排队256人
[2021-12-06 12:30:20] 	前方排队233人
[2021-12-06 12:30:22] 	前方排队209人
[2021-12-06 12:30:24] 	前方排队185人
[2021-12-06 12:30:26] 	前方排队161人
[2021-12-06 12:30:29] 	前方排队138人
[2021-12-06 12:30:31] 	前方排队114人
[2021-12-06 12:30:33] 	前方排队90人
[2021-12-06 12:30:33] 	前方排队89人
[2021-12-06 12:30:33] 	前方排队86人
[2021-12-06 12:30:33] 	前方排队84人
[2021-12-06 12:30:34] 	前方排队83人
[2021-12-06 12:30:34] 	前方排队81人
[2021-12-06 12:30:34] 	前方排队80人
[2021-12-06 12:30:34] 	前方排队78人
[2021-12-06 12:30:34] 	前方排队76人
[2021-12-06 12:30:34] 	前方排队75人
[2021-12-06 12:30:34] 	前方排队73人
[2021-12-06 12:30:35] 	前方排队72人
[2021-12-06 12:30:35] 	前方排队70人
[2021-12-06 12:30:35] 	前方排队68人
[2021-12-06 12:30:35] 	前方排队67人
[2021-12-06 12:30:35] 	前方排队65人
[2021-12-06 12:30:35] 	前方排队63人
[2021-12-06 12:30:35] 	前方排队61人
[2021-12-06 12:30:36] 	前方排队60人
[2021-12-06 12:30:36] 	前方排队58人
[2021-12-06 12:30:36] 	前方排队56人
[2021-12-06 12:30:36] 	前方排队54人
[2021-12-06 12:30:36] 	前方排队53人
[2021-12-06 12:30:36] 	前方排队51人
[2021-12-06 12:30:37] 	前方排队50人
[2021-12-06 12:30:37] 	前方排队48人
[2021-12-06 12:30:37] 	前方排队46人
[2021-12-06 12:30:37] 	前方排队44人
[2021-12-06 12:30:37] 	前方排队43人
[2021-12-06 12:30:37] 	前方排队41人
[2021-12-06 12:30:37] 	前方排队39人
[2021-12-06 12:30:38] 	前方排队38人
[2021-12-06 12:30:38] 	前方排队36人
[2021-12-06 12:30:38] 	前方排队34人
[2021-12-06 12:30:38] 	前方排队33人
[2021-12-06 12:30:38] 	前方排队31人
[2021-12-06 12:30:38] 	前方排队29人
[2021-12-06 12:30:38] 	前方排队28人
[2021-12-06 12:30:39] 	前方排队26人
[2021-12-06 12:30:39] 	前方排队24人
[2021-12-06 12:30:39] 	前方排队22人
[2021-12-06 12:30:39] 	前方排队21人
[2021-12-06 12:30:39] 	前方排队19人
[2021-12-06 12:30:39] 	前方排队17人
[2021-12-06 12:30:40] 	前方排队15人
[2021-12-06 12:30:40] 	前方排队14人
[2021-12-06 12:30:40] 	前方排队12人
[2021-12-06 12:30:40] 	前方排队10人
[2021-12-06 12:30:40] 	前方排队8人
[2021-12-06 12:30:40] 	前方排队7人
[2021-12-06 12:30:41] 	前方排队5人
[2021-12-06 12:30:41] 	前方排队3人
[2021-12-06 12:30:41] 	前方排队2人
[2021-12-06 12:30:41] 	前方排队0人
[2021-12-06 12:30:41] 	排队完成
[2021-12-06 12:30:41] 	getStep:2
[2021-12-06 12:30:41] 	1号座位已有人
[2021-12-06 12:30:41] 	2号座位已有人
[2021-12-06 12:30:41] 	3号座位已有人
[2021-12-06 12:30:41] 	4号座位已有人
[2021-12-06 12:30:41] 	5号座位已有人
[2021-12-06 12:30:41] 	6号座位已有人
[2021-12-06 12:30:41] 	7号座位已有人
[2021-12-06 12:30:41] 	开始预定8号
[2021-12-06 12:30:42] 	预定成功，座位为8号
[2021-12-06 12:30:42] 	抢座完成后排队人数0
[2021-12-06 12:30:42] 	getStep:2
[2021-12-06 12:30:42] 	create_connection连接关闭
[2021-12-06 12:30:42] 	关闭websocket后排队人数0
[2021-12-06 12:30:42] 	开始写入验证码图片
